timestamp;epoch;genotype_normal;genotype_reduce;genotype_full;train_acc;train_loss;f1;params
07/01/2026 12:03;0;[[1 1 1 1 2 2 1 3 4 3 1]];[[1 1 1 1 2 2 1 3 4 3 1]];[[1 1 1 1 2 2 1 3 4 3 1]];0,1;2,304667;0,098;58743
07/01/2026 12:12;1;[[1 1 1 1 2 2 1 3 4 3 1]];[[1 1 1 1 2 2 1 3 4 3 1]];[[1 1 1 1 2 2 1 3 4 3 1]];0,103;2,303313;0,1;58743
07/01/2026 12:29;2;[[1 1 1 1 2 2 1 3 4 3 1]];[[1 1 1 1 2 2 1 3 4 3 1]];[[1 1 1 1 2 2 1 3 4 3 1]];0,108;2,30173;0,103;58743
07/01/2026 12:56;3;[[1 1 1 1 2 2 1 3 4 3 1]];[[1 1 1 1 2 2 1 3 4 3 1]];[[1 1 1 1 2 2 1 3 4 3 1]];0,114;2,30106;0,107;58743
07/01/2026 13:33;4;[[1 1 1 1 2 2 1 3 4 3 1]];[[1 1 1 1 2 2 1 3 4 3 1]];[[1 1 1 1 2 2 1 3 4 3 1]];0,112;2,300268;0,107;58743
07/01/2026 14:21;5;[[1 1 1 1 2 2 1 3 4 3 1]];[[1 1 1 1 2 2 1 3 4 3 1]];[[1 1 1 1 2 2 1 3 4 3 1]];0,115;2,299124;0,109;58743
07/01/2026 15:19;6;[[1 1 1 1 2 2 1 3 4 3 1]];[[1 1 1 1 2 2 1 3 4 3 1]];[[1 1 1 1 2 2 1 3 4 3 1]];0,117;2,295574;0,117;58743
07/01/2026 16:28;7;[[1 1 1 1 2 2 1 3 4 3 1]];[[1 1 1 1 2 2 1 3 4 3 1]];[[1 1 1 1 2 2 1 3 4 3 1]];0,119;2,290253;0,119;58743
07/01/2026 17:47;8;[[1 1 1 1 2 2 1 3 4 3 1]];[[1 1 1 1 2 2 1 3 4 3 1]];[[1 1 1 1 2 2 1 3 4 3 1]];0,122;2,283061;0,122;58743
07/01/2026 19:15;9;[[1 1 1 1 2 2 1 3 4 3 1]];[[1 1 1 1 2 2 1 3 4 3 1]];[[1 1 1 1 2 2 1 3 4 3 1]];0,131;2,274492;0,131;58743
07/01/2026 20:55;10;[[1 1 1 1 2 2 1 3 4 3 1]];[[1 1 1 1 2 2 1 3 4 3 1]];[[1 1 1 1 2 2 1 3 4 3 1]];0,139;2,265239;0,134;58743
07/01/2026 22:45;11;[[1 1 1 1 2 2 1 3 4 3 1]];[[1 1 1 1 2 2 1 3 4 3 1]];[[1 1 1 1 2 2 1 3 4 3 1]];0,148;2,256033;0,141;58743
08/01/2026 0:46;12;[[1 1 1 1 2 2 1 3 4 3 1]];[[1 1 1 1 2 2 1 3 4 3 1]];[[1 1 1 1 2 2 1 3 4 3 1]];0,153;2,249753;0,153;58743
08/01/2026 2:58;13;[[1 1 1 1 2 2 1 3 4 3 1]];[[1 1 1 1 2 2 1 3 4 3 1]];[[1 1 1 1 2 2 1 3 4 3 1]];0,16;2,243822;0,157;58743
08/01/2026 5:20;14;[[1 1 1 1 2 2 1 3 4 3 1]];[[1 1 1 1 2 2 1 3 4 3 1]];[[1 1 1 1 2 2 1 3 4 3 1]];0,165;2,237152;0,16;58743
08/01/2026 7:53;15;[[1 1 1 1 2 2 1 3 4 3 1]];[[1 1 1 1 2 2 1 3 4 3 1]];[[1 1 1 1 2 2 1 3 4 3 1]];0,167;2,231998;0,163;58743
08/01/2026 10:36;16;[[1 1 1 1 2 2 1 3 4 3 1]];[[1 1 1 1 2 2 1 3 4 3 1]];[[1 1 1 1 2 2 1 3 4 3 1]];0,171;2,225901;0,165;58743
08/01/2026 13:30;17;[[1 1 1 1 2 2 1 3 4 3 1]];[[1 1 1 1 2 2 1 3 4 3 1]];[[1 1 1 1 2 2 1 3 4 3 1]];0,178;2,219707;0,172;58743
08/01/2026 16:33;18;[[1 1 1 1 2 2 1 3 4 3 1]];[[1 1 1 1 2 2 1 3 4 3 1]];[[1 1 1 1 2 2 1 3 4 3 1]];0,179;2,214606;0,175;58743
08/01/2026 19:47;19;[[1 1 1 1 2 2 1 3 4 3 1]];[[1 1 1 1 2 2 1 3 4 3 1]];[[1 1 1 1 2 2 1 3 4 3 1]];0,184;2,211008;0,176;58743
08/01/2026 23:11;20;[[1 1 1 1 2 2 1 3 4 3 1]];[[1 1 1 1 2 2 1 3 4 3 1]];[[1 1 1 1 2 2 1 3 4 3 1]];0,187;2,207224;0,184;58743
09/01/2026 2:46;21;[[1 1 1 1 2 2 1 3 4 3 1]];[[1 1 1 1 2 2 1 3 4 3 1]];[[1 1 1 1 2 2 1 3 4 3 1]];0,189;2,202575;0,187;58743
09/01/2026 6:30;22;[[1 1 1 1 2 2 1 3 4 3 1]];[[1 1 1 1 2 2 1 3 4 3 1]];[[1 1 1 1 2 2 1 3 4 3 1]];0,192;2,197285;0,187;58743
09/01/2026 10:27;23;[[1 1 1 1 2 2 1 3 4 3 1]];[[1 1 1 1 2 2 1 3 4 3 1]];[[1 1 1 1 2 2 1 3 4 3 1]];0,195;2,191209;0,19;58743
09/01/2026 14:35;24;[[1 1 1 1 2 2 1 3 4 3 1]];[[1 1 1 1 2 2 1 3 4 3 1]];[[1 1 1 1 2 2 1 3 4 3 1]];0,197;2,189091;0,191;58743
09/01/2026 18:56;25;[[1 1 1 1 2 2 1 3 4 3 1]];[[1 1 1 1 2 2 1 3 4 3 1]];[[1 1 1 1 2 2 1 3 4 3 1]];0,198;2,184532;0,193;58743
09/01/2026 23:27;26;[[1 1 1 1 2 2 1 3 4 3 1]];[[1 1 1 1 2 2 1 3 4 3 1]];[[1 1 1 1 2 2 1 3 4 3 1]];0,197;2,17983;0,193;58743
10/01/2026 4:09;27;[[1 1 1 1 2 2 1 3 4 3 1]];[[1 1 1 1 2 2 1 3 4 3 1]];[[1 1 1 1 2 2 1 3 4 3 1]];0,201;2,176955;0,195;58743
10/01/2026 9:07;28;[[1 1 1 1 2 2 1 3 4 3 1]];[[1 1 1 1 2 2 1 3 4 3 1]];[[1 1 1 1 2 2 1 3 4 3 1]];0,203;2,1721;0,198;58743
10/01/2026 14:09;29;[[1 1 1 1 2 2 1 3 4 3 1]];[[1 1 1 1 2 2 1 3 4 3 1]];[[1 1 1 1 2 2 1 3 4 3 1]];0,202;2,170137;0,199;58743
10/01/2026 19:23;30;[[1 1 1 1 2 2 1 3 4 3 1]];[[1 1 1 1 2 2 1 3 4 3 1]];[[1 1 1 1 2 2 1 3 4 3 1]];0,207;2,163796;0,202;58743
11/01/2026 0:48;31;[[1 1 1 1 2 2 1 3 4 3 1]];[[1 1 1 1 2 2 1 3 4 3 1]];[[1 1 1 1 2 2 1 3 4 3 1]];0,208;2,16204;0,202;58743
11/01/2026 6:28;32;[[1 1 1 1 2 2 1 3 4 3 1]];[[1 1 1 1 2 2 1 3 4 3 1]];[[1 1 1 1 2 2 1 3 4 3 1]];0,207;2,159147;0,2;58743
11/01/2026 12:12;33;[[1 1 1 1 2 2 1 3 4 3 1]];[[1 1 1 1 2 2 1 3 4 3 1]];[[1 1 1 1 2 2 1 3 4 3 1]];0,207;2,158412;0,202;58743
11/01/2026 18:17;34;[[1 1 1 1 2 2 1 3 4 3 1]];[[1 1 1 1 2 2 1 3 4 3 1]];[[1 1 1 1 2 2 1 3 4 3 1]];0,208;2,154038;0,203;58743
12/01/2026 0:45;35;[[1 1 1 1 2 2 1 3 4 3 1]];[[1 1 1 1 2 2 1 3 4 3 1]];[[1 1 1 1 2 2 1 3 4 3 1]];0,207;2,152657;0,202;58743
12/01/2026 7:08;36;[[1 1 1 1 2 2 1 3 4 3 1]];[[1 1 1 1 2 2 1 3 4 3 1]];[[1 1 1 1 2 2 1 3 4 3 1]];0,21;2,15034;0,205;58743
12/01/2026 13:34;37;[[1 1 1 1 2 2 1 3 4 3 1]];[[1 1 1 1 2 2 1 3 4 3 1]];[[1 1 1 1 2 2 1 3 4 3 1]];0,211;2,146313;0,204;58743
12/01/2026 20:11;38;[[1 1 1 1 2 2 1 3 4 3 1]];[[1 1 1 1 2 2 1 3 4 3 1]];[[1 1 1 1 2 2 1 3 4 3 1]];0,211;2,14362;0,206;58743
13/01/2026 3:23;39;[[1 1 1 1 2 2 1 3 4 3 1]];[[1 1 1 1 2 2 1 3 4 3 1]];[[1 1 1 1 2 2 1 3 4 3 1]];0,212;2,141751;0,206;58743
13/01/2026 10:21;40;[[1 1 1 1 2 2 1 3 4 3 1]];[[1 1 1 1 2 2 1 3 4 3 1]];[[1 1 1 1 2 2 1 3 4 3 1]];0,213;2,139282;0,208;58743
13/01/2026 17:30;41;[[1 1 1 1 2 2 1 3 4 3 1]];[[1 1 1 1 2 2 1 3 4 3 1]];[[1 1 1 1 2 2 1 3 4 3 1]];0,216;2,138139;0,212;58743
