timestamp;epoch;genotype_normal;genotype_reduce;genotype_full;fgsm_acc;pgd_acc;robustness;params
2025-12-14T15:54:53.800439;0;-;-;{'op': array([[0., 0., 1.], [0., 0., 1.], [0., 1., 0.], [0., 1., 0.], [0., 1., 0.]], dtype=float32), 'edge': [array([[0., 1.]], dtype=float32), array([[0., 1., 0.]], dtype=float32), array([[0., 0., 0., 1.]], dtype=float32), array([[0., 0., 0., 1., 0.]], dtype=float32)]};17,524;11,906;14,715;1509594
2025-12-14T15:57:58.857015;1;-;-;{'op': array([[0., 0., 1.], [1., 0., 0.], [0., 1., 0.], [0., 1., 0.], [1., 0., 0.]], dtype=float32), 'edge': [array([[0., 1.]], dtype=float32), array([[1., 0., 0.]], dtype=float32), array([[0., 0., 0., 1.]], dtype=float32), array([[0., 0., 0., 1., 0.]], dtype=float32)]};19,554;11,516;15,535;1509594
2025-12-14T16:01:04.867116;2;-;-;{'op': array([[0., 1., 0.], [1., 0., 0.], [0., 1., 0.], [0., 1., 0.], [1., 0., 0.]], dtype=float32), 'edge': [array([[0., 1.]], dtype=float32), array([[1., 0., 0.]], dtype=float32), array([[0., 0., 0., 1.]], dtype=float32), array([[0., 0., 0., 1., 0.]], dtype=float32)]};21,868;12,464;17,166;1509594
2025-12-14T16:04:09.877420;3;-;-;{'op': array([[0., 1., 0.], [1., 0., 0.], [0., 1., 0.], [0., 1., 0.], [1., 0., 0.]], dtype=float32), 'edge': [array([[0., 1.]], dtype=float32), array([[1., 0., 0.]], dtype=float32), array([[0., 0., 0., 1.]], dtype=float32), array([[0., 0., 0., 1., 0.]], dtype=float32)]};19,248;9,416;14,332;1509594
2025-12-14T16:07:15.945490;4;-;-;{'op': array([[0., 1., 0.], [1., 0., 0.], [0., 1., 0.], [0., 1., 0.], [1., 0., 0.]], dtype=float32), 'edge': [array([[0., 1.]], dtype=float32), array([[1., 0., 0.]], dtype=float32), array([[0., 0., 0., 1.]], dtype=float32), array([[0., 0., 0., 1., 0.]], dtype=float32)]};18,988;8,046;13,517;1509594
2025-12-14T16:10:21.388593;5;-;-;{'op': array([[0., 1., 0.], [1., 0., 0.], [0., 1., 0.], [0., 1., 0.], [1., 0., 0.]], dtype=float32), 'edge': [array([[0., 1.]], dtype=float32), array([[1., 0., 0.]], dtype=float32), array([[0., 0., 0., 1.]], dtype=float32), array([[0., 0., 0., 1., 0.]], dtype=float32)]};18,392;7,192;12,792;1509594
2025-12-14T16:13:26.631943;6;-;-;{'op': array([[0., 1., 0.], [1., 0., 0.], [0., 1., 0.], [0., 1., 0.], [1., 0., 0.]], dtype=float32), 'edge': [array([[0., 1.]], dtype=float32), array([[1., 0., 0.]], dtype=float32), array([[0., 0., 0., 1.]], dtype=float32), array([[0., 0., 0., 1., 0.]], dtype=float32)]};17,664;6,674;12,169;1509594
2025-12-14T16:16:32.282510;7;-;-;{'op': array([[0., 1., 0.], [1., 0., 0.], [0., 1., 0.], [0., 1., 0.], [1., 0., 0.]], dtype=float32), 'edge': [array([[0., 1.]], dtype=float32), array([[1., 0., 0.]], dtype=float32), array([[0., 0., 0., 1.]], dtype=float32), array([[0., 0., 0., 1., 0.]], dtype=float32)]};18,728;6,822;12,775;1509594
2025-12-14T16:19:35.252140;8;-;-;{'op': array([[0., 1., 0.], [1., 0., 0.], [0., 1., 0.], [0., 1., 0.], [1., 0., 0.]], dtype=float32), 'edge': [array([[0., 1.]], dtype=float32), array([[1., 0., 0.]], dtype=float32), array([[0., 0., 0., 1.]], dtype=float32), array([[0., 0., 0., 1., 0.]], dtype=float32)]};16,854;5,24;11,047;1509594
2025-12-14T16:22:43.150982;9;-;-;{'op': array([[0., 1., 0.], [1., 0., 0.], [0., 1., 0.], [0., 1., 0.], [1., 0., 0.]], dtype=float32), 'edge': [array([[0., 1.]], dtype=float32), array([[1., 0., 0.]], dtype=float32), array([[0., 0., 0., 1.]], dtype=float32), array([[0., 0., 0., 1., 0.]], dtype=float32)]};16,646;5,348;10,997;1509594
2025-12-14T16:25:49.251141;10;-;-;{'op': array([[0., 1., 0.], [1., 0., 0.], [0., 1., 0.], [0., 1., 0.], [1., 0., 0.]], dtype=float32), 'edge': [array([[0., 1.]], dtype=float32), array([[1., 0., 0.]], dtype=float32), array([[0., 0., 0., 1.]], dtype=float32), array([[0., 0., 0., 1., 0.]], dtype=float32)]};16,21;5,038;10,624;1509594
2025-12-14T16:28:53.110885;11;-;-;{'op': array([[0., 1., 0.], [1., 0., 0.], [0., 1., 0.], [0., 1., 0.], [1., 0., 0.]], dtype=float32), 'edge': [array([[0., 1.]], dtype=float32), array([[0., 1., 0.]], dtype=float32), array([[0., 0., 0., 1.]], dtype=float32), array([[0., 0., 0., 1., 0.]], dtype=float32)]};18,746;6,548;12,647;1509594
2025-12-14T16:31:59.302129;12;-;-;{'op': array([[0., 1., 0.], [1., 0., 0.], [0., 1., 0.], [0., 1., 0.], [1., 0., 0.]], dtype=float32), 'edge': [array([[0., 1.]], dtype=float32), array([[0., 1., 0.]], dtype=float32), array([[0., 0., 0., 1.]], dtype=float32), array([[0., 0., 0., 1., 0.]], dtype=float32)]};17,864;6,086;11,975;1509594
2025-12-14T16:35:03.589392;13;-;-;{'op': array([[0., 1., 0.], [1., 0., 0.], [0., 1., 0.], [0., 1., 0.], [1., 0., 0.]], dtype=float32), 'edge': [array([[0., 1.]], dtype=float32), array([[1., 0., 0.]], dtype=float32), array([[0., 0., 0., 1.]], dtype=float32), array([[0., 0., 0., 1., 0.]], dtype=float32)]};18,01;5,406;11,708;1509594
2025-12-14T16:38:09.588193;14;-;-;{'op': array([[0., 1., 0.], [1., 0., 0.], [0., 1., 0.], [0., 1., 0.], [1., 0., 0.]], dtype=float32), 'edge': [array([[0., 1.]], dtype=float32), array([[1., 0., 0.]], dtype=float32), array([[0., 0., 0., 1.]], dtype=float32), array([[0., 0., 0., 1., 0.]], dtype=float32)]};19,136;6,43;12,783;1509594
2025-12-14T16:41:15.110657;15;-;-;{'op': array([[0., 1., 0.], [1., 0., 0.], [0., 1., 0.], [0., 1., 0.], [1., 0., 0.]], dtype=float32), 'edge': [array([[0., 1.]], dtype=float32), array([[0., 1., 0.]], dtype=float32), array([[0., 0., 0., 1.]], dtype=float32), array([[0., 0., 0., 1., 0.]], dtype=float32)]};17,984;5,65;11,817;1509594
2025-12-14T16:44:20.895194;16;-;-;{'op': array([[0., 1., 0.], [1., 0., 0.], [0., 1., 0.], [0., 1., 0.], [1., 0., 0.]], dtype=float32), 'edge': [array([[0., 1.]], dtype=float32), array([[0., 1., 0.]], dtype=float32), array([[0., 0., 0., 1.]], dtype=float32), array([[0., 0., 0., 1., 0.]], dtype=float32)]};19,216;6,684;12,95;1509594
2025-12-14T16:47:25.847743;17;-;-;{'op': array([[0., 1., 0.], [1., 0., 0.], [0., 1., 0.], [0., 1., 0.], [1., 0., 0.]], dtype=float32), 'edge': [array([[0., 1.]], dtype=float32), array([[0., 1., 0.]], dtype=float32), array([[0., 0., 0., 1.]], dtype=float32), array([[0., 0., 0., 1., 0.]], dtype=float32)]};17,892;5,566;11,729;1509594
2025-12-14T16:50:31.461899;18;-;-;{'op': array([[0., 1., 0.], [1., 0., 0.], [0., 1., 0.], [0., 1., 0.], [1., 0., 0.]], dtype=float32), 'edge': [array([[0., 1.]], dtype=float32), array([[0., 1., 0.]], dtype=float32), array([[0., 0., 0., 1.]], dtype=float32), array([[0., 0., 0., 1., 0.]], dtype=float32)]};16,81;4,752;10,781;1509594
2025-12-14T16:53:38.568783;19;-;-;{'op': array([[0., 1., 0.], [1., 0., 0.], [0., 1., 0.], [0., 1., 0.], [1., 0., 0.]], dtype=float32), 'edge': [array([[0., 1.]], dtype=float32), array([[0., 1., 0.]], dtype=float32), array([[0., 0., 0., 1.]], dtype=float32), array([[0., 0., 0., 1., 0.]], dtype=float32)]};16,654;4,46;10,557;1509594
2025-12-14T16:56:42.416586;20;-;-;{'op': array([[0., 1., 0.], [1., 0., 0.], [1., 0., 0.], [0., 1., 0.], [1., 0., 0.]], dtype=float32), 'edge': [array([[0., 1.]], dtype=float32), array([[0., 1., 0.]], dtype=float32), array([[0., 0., 0., 1.]], dtype=float32), array([[0., 0., 0., 1., 0.]], dtype=float32)]};16,468;4,504;10,486;1509594
2025-12-14T16:59:49.627084;21;-;-;{'op': array([[0., 1., 0.], [1., 0., 0.], [1., 0., 0.], [0., 1., 0.], [1., 0., 0.]], dtype=float32), 'edge': [array([[0., 1.]], dtype=float32), array([[0., 1., 0.]], dtype=float32), array([[0., 0., 0., 1.]], dtype=float32), array([[0., 0., 0., 1., 0.]], dtype=float32)]};17,58;4,786;11,183;1509594
2025-12-14T17:02:56.148770;22;-;-;{'op': array([[0., 1., 0.], [1., 0., 0.], [1., 0., 0.], [0., 1., 0.], [1., 0., 0.]], dtype=float32), 'edge': [array([[0., 1.]], dtype=float32), array([[0., 1., 0.]], dtype=float32), array([[0., 1., 0., 0.]], dtype=float32), array([[0., 0., 0., 1., 0.]], dtype=float32)]};20,38;6,992;13,686;1509594
2025-12-14T17:06:01.700673;23;-;-;{'op': array([[0., 1., 0.], [1., 0., 0.], [1., 0., 0.], [0., 1., 0.], [1., 0., 0.]], dtype=float32), 'edge': [array([[0., 1.]], dtype=float32), array([[0., 1., 0.]], dtype=float32), array([[0., 1., 0., 0.]], dtype=float32), array([[0., 0., 0., 1., 0.]], dtype=float32)]};18,474;5,934;12,204;1509594
2025-12-14T17:09:09.060662;24;-;-;{'op': array([[0., 1., 0.], [1., 0., 0.], [1., 0., 0.], [0., 1., 0.], [1., 0., 0.]], dtype=float32), 'edge': [array([[0., 1.]], dtype=float32), array([[1., 0., 0.]], dtype=float32), array([[0., 1., 0., 0.]], dtype=float32), array([[0., 0., 0., 1., 0.]], dtype=float32)]};17,806;5,256;11,531;1509594
2025-12-14T17:12:14.380037;25;-;-;{'op': array([[0., 1., 0.], [1., 0., 0.], [1., 0., 0.], [0., 1., 0.], [1., 0., 0.]], dtype=float32), 'edge': [array([[0., 1.]], dtype=float32), array([[1., 0., 0.]], dtype=float32), array([[0., 0., 0., 1.]], dtype=float32), array([[0., 0., 0., 1., 0.]], dtype=float32)]};20,356;6,234;13,295;1509594
2025-12-14T17:15:22.629349;26;-;-;{'op': array([[0., 1., 0.], [1., 0., 0.], [1., 0., 0.], [0., 1., 0.], [1., 0., 0.]], dtype=float32), 'edge': [array([[0., 1.]], dtype=float32), array([[1., 0., 0.]], dtype=float32), array([[0., 0., 0., 1.]], dtype=float32), array([[0., 0., 0., 1., 0.]], dtype=float32)]};18,966;5,364;12,165;1509594
2025-12-14T17:18:29.781134;27;-;-;{'op': array([[0., 1., 0.], [1., 0., 0.], [1., 0., 0.], [0., 1., 0.], [1., 0., 0.]], dtype=float32), 'edge': [array([[0., 1.]], dtype=float32), array([[0., 1., 0.]], dtype=float32), array([[0., 0., 0., 1.]], dtype=float32), array([[0., 0., 0., 1., 0.]], dtype=float32)]};20,106;5,836;12,971;1509594
2025-12-14T17:21:33.556911;28;-;-;{'op': array([[0., 1., 0.], [1., 0., 0.], [1., 0., 0.], [0., 1., 0.], [1., 0., 0.]], dtype=float32), 'edge': [array([[0., 1.]], dtype=float32), array([[0., 1., 0.]], dtype=float32), array([[0., 0., 0., 1.]], dtype=float32), array([[0., 0., 0., 1., 0.]], dtype=float32)]};18,092;4,566;11,329;1509594
2025-12-14T17:24:37.734746;29;-;-;{'op': array([[0., 1., 0.], [1., 0., 0.], [1., 0., 0.], [0., 1., 0.], [1., 0., 0.]], dtype=float32), 'edge': [array([[0., 1.]], dtype=float32), array([[0., 1., 0.]], dtype=float32), array([[0., 0., 0., 1.]], dtype=float32), array([[0., 0., 0., 1., 0.]], dtype=float32)]};18,404;4,774;11,589;1509594
2025-12-14T17:27:46.958773;30;-;-;{'op': array([[0., 1., 0.], [1., 0., 0.], [1., 0., 0.], [0., 1., 0.], [1., 0., 0.]], dtype=float32), 'edge': [array([[0., 1.]], dtype=float32), array([[0., 1., 0.]], dtype=float32), array([[0., 0., 1., 0.]], dtype=float32), array([[0., 0., 0., 1., 0.]], dtype=float32)]};19,33;4,86;12,095;1509594
2025-12-14T17:30:53.539915;31;-;-;{'op': array([[0., 1., 0.], [1., 0., 0.], [1., 0., 0.], [0., 1., 0.], [1., 0., 0.]], dtype=float32), 'edge': [array([[0., 1.]], dtype=float32), array([[0., 1., 0.]], dtype=float32), array([[0., 0., 1., 0.]], dtype=float32), array([[0., 0., 0., 1., 0.]], dtype=float32)]};20,474;5,878;13,176;1509594
2025-12-14T17:33:58.020819;32;-;-;{'op': array([[0., 1., 0.], [1., 0., 0.], [1., 0., 0.], [0., 1., 0.], [1., 0., 0.]], dtype=float32), 'edge': [array([[0., 1.]], dtype=float32), array([[1., 0., 0.]], dtype=float32), array([[0., 0., 1., 0.]], dtype=float32), array([[0., 0., 0., 1., 0.]], dtype=float32)]};19,992;4,952;12,472;1509594
2025-12-14T17:37:03.012316;33;-;-;{'op': array([[0., 1., 0.], [1., 0., 0.], [1., 0., 0.], [0., 1., 0.], [1., 0., 0.]], dtype=float32), 'edge': [array([[0., 1.]], dtype=float32), array([[1., 0., 0.]], dtype=float32), array([[0., 0., 1., 0.]], dtype=float32), array([[0., 0., 0., 1., 0.]], dtype=float32)]};20,11;5,428;12,769;1509594
2025-12-14T17:40:07.374711;34;-;-;{'op': array([[0., 1., 0.], [1., 0., 0.], [1., 0., 0.], [0., 1., 0.], [1., 0., 0.]], dtype=float32), 'edge': [array([[0., 1.]], dtype=float32), array([[1., 0., 0.]], dtype=float32), array([[0., 0., 1., 0.]], dtype=float32), array([[0., 0., 0., 1., 0.]], dtype=float32)]};20,116;5,208;12,662;1509594
2025-12-14T17:43:13.637698;35;-;-;{'op': array([[0., 1., 0.], [1., 0., 0.], [1., 0., 0.], [0., 1., 0.], [1., 0., 0.]], dtype=float32), 'edge': [array([[0., 1.]], dtype=float32), array([[0., 1., 0.]], dtype=float32), array([[0., 0., 1., 0.]], dtype=float32), array([[0., 0., 0., 1., 0.]], dtype=float32)]};19,748;5,184;12,466;1509594
2025-12-14T17:46:18.006871;36;-;-;{'op': array([[0., 1., 0.], [1., 0., 0.], [1., 0., 0.], [0., 1., 0.], [1., 0., 0.]], dtype=float32), 'edge': [array([[0., 1.]], dtype=float32), array([[0., 1., 0.]], dtype=float32), array([[0., 0., 1., 0.]], dtype=float32), array([[0., 0., 0., 1., 0.]], dtype=float32)]};20,41;4,886;12,648;1509594
2025-12-14T17:49:24.497521;37;-;-;{'op': array([[0., 1., 0.], [1., 0., 0.], [1., 0., 0.], [0., 1., 0.], [1., 0., 0.]], dtype=float32), 'edge': [array([[0., 1.]], dtype=float32), array([[0., 1., 0.]], dtype=float32), array([[0., 0., 1., 0.]], dtype=float32), array([[0., 0., 0., 1., 0.]], dtype=float32)]};19,332;4,342;11,837;1509594
2025-12-14T17:52:28.898405;38;-;-;{'op': array([[0., 1., 0.], [1., 0., 0.], [1., 0., 0.], [0., 1., 0.], [1., 0., 0.]], dtype=float32), 'edge': [array([[0., 1.]], dtype=float32), array([[0., 1., 0.]], dtype=float32), array([[0., 0., 1., 0.]], dtype=float32), array([[0., 0., 0., 1., 0.]], dtype=float32)]};20,936;4,88;12,908;1509594
2025-12-14T17:55:33.004826;39;-;-;{'op': array([[0., 1., 0.], [1., 0., 0.], [1., 0., 0.], [0., 1., 0.], [1., 0., 0.]], dtype=float32), 'edge': [array([[0., 1.]], dtype=float32), array([[0., 1., 0.]], dtype=float32), array([[0., 0., 1., 0.]], dtype=float32), array([[0., 0., 0., 1., 0.]], dtype=float32)]};23,186;5,534;14,36;1509594
2025-12-14T17:58:37.932296;40;-;-;{'op': array([[1., 0., 0.], [1., 0., 0.], [1., 0., 0.], [0., 1., 0.], [1., 0., 0.]], dtype=float32), 'edge': [array([[0., 1.]], dtype=float32), array([[0., 1., 0.]], dtype=float32), array([[0., 0., 1., 0.]], dtype=float32), array([[0., 0., 0., 1., 0.]], dtype=float32)]};21,77;5,082;13,426;1509594
2025-12-14T18:01:42.583842;41;-;-;{'op': array([[1., 0., 0.], [1., 0., 0.], [1., 0., 0.], [0., 1., 0.], [1., 0., 0.]], dtype=float32), 'edge': [array([[0., 1.]], dtype=float32), array([[0., 1., 0.]], dtype=float32), array([[0., 0., 1., 0.]], dtype=float32), array([[0., 0., 0., 1., 0.]], dtype=float32)]};22,102;5,068;13,585;1509594
2025-12-14T18:04:47.839897;42;-;-;{'op': array([[1., 0., 0.], [1., 0., 0.], [1., 0., 0.], [0., 1., 0.], [1., 0., 0.]], dtype=float32), 'edge': [array([[0., 1.]], dtype=float32), array([[0., 1., 0.]], dtype=float32), array([[0., 0., 1., 0.]], dtype=float32), array([[0., 0., 0., 1., 0.]], dtype=float32)]};23,664;5,766;14,715;1509594
2025-12-14T18:07:52.439726;43;-;-;{'op': array([[1., 0., 0.], [1., 0., 0.], [1., 0., 0.], [0., 1., 0.], [1., 0., 0.]], dtype=float32), 'edge': [array([[0., 1.]], dtype=float32), array([[0., 1., 0.]], dtype=float32), array([[0., 0., 1., 0.]], dtype=float32), array([[0., 0., 0., 1., 0.]], dtype=float32)]};22,976;5,362;14,169;1509594
2025-12-14T18:10:59.695704;44;-;-;{'op': array([[1., 0., 0.], [1., 0., 0.], [1., 0., 0.], [0., 1., 0.], [1., 0., 0.]], dtype=float32), 'edge': [array([[0., 1.]], dtype=float32), array([[0., 1., 0.]], dtype=float32), array([[0., 0., 1., 0.]], dtype=float32), array([[0., 0., 0., 1., 0.]], dtype=float32)]};23,322;5,376;14,349;1509594
2025-12-14T18:14:04.377509;45;-;-;{'op': array([[1., 0., 0.], [1., 0., 0.], [1., 0., 0.], [0., 1., 0.], [1., 0., 0.]], dtype=float32), 'edge': [array([[0., 1.]], dtype=float32), array([[0., 1., 0.]], dtype=float32), array([[0., 0., 1., 0.]], dtype=float32), array([[0., 0., 0., 1., 0.]], dtype=float32)]};23,846;5,772;14,809;1509594
2025-12-14T18:17:09.963430;46;-;-;{'op': array([[1., 0., 0.], [1., 0., 0.], [1., 0., 0.], [0., 1., 0.], [1., 0., 0.]], dtype=float32), 'edge': [array([[0., 1.]], dtype=float32), array([[0., 1., 0.]], dtype=float32), array([[0., 0., 1., 0.]], dtype=float32), array([[0., 0., 0., 1., 0.]], dtype=float32)]};24,698;5,95;15,324;1509594
2025-12-14T18:20:16.707716;47;-;-;{'op': array([[1., 0., 0.], [1., 0., 0.], [1., 0., 0.], [0., 1., 0.], [1., 0., 0.]], dtype=float32), 'edge': [array([[0., 1.]], dtype=float32), array([[0., 1., 0.]], dtype=float32), array([[0., 0., 1., 0.]], dtype=float32), array([[0., 0., 0., 1., 0.]], dtype=float32)]};23,8;5,386;14,593;1509594
2025-12-14T18:23:23.715899;48;-;-;{'op': array([[1., 0., 0.], [1., 0., 0.], [1., 0., 0.], [0., 1., 0.], [1., 0., 0.]], dtype=float32), 'edge': [array([[0., 1.]], dtype=float32), array([[0., 1., 0.]], dtype=float32), array([[0., 0., 1., 0.]], dtype=float32), array([[0., 0., 0., 1., 0.]], dtype=float32)]};24,014;5,634;14,824;1509594
2025-12-14T18:26:30.581460;49;-;-;{'op': array([[1., 0., 0.], [1., 0., 0.], [1., 0., 0.], [0., 1., 0.], [1., 0., 0.]], dtype=float32), 'edge': [array([[0., 1.]], dtype=float32), array([[0., 1., 0.]], dtype=float32), array([[0., 0., 1., 0.]], dtype=float32), array([[0., 0., 0., 1., 0.]], dtype=float32)]};23,928;5,36;14,644;1509594
